n,z,density
4,3.2800000000000002,0.0
4,3.4400000000000004,0.0
4,3.6,0.0
4,3.76,0.0
4,3.92,0.0
8,-3.92,0.0
8,-3.76,0.0
8,-3.6,0.0
8,-3.44,0.001249999999999999
8,-3.2800000000000002,0.0018749999999999984
8,-3.12,0.002187499999999998
8,-2.96,0.0028124999999999977
8,-2.8,0.007187499999999994
8,-2.6399999999999997,0.012812499999999989
8,-2.48,0.017812499999999985
8,-2.3200000000000003,0.029999999999999975
8,-2.16,0.028749999999999977
8,-2.0,0.06124999999999995
8,-1.8399999999999999,0.07937499999999993
8,-1.68,0.09656249999999991
8,-1.52,0.13312499999999988
8,-1.3599999999999999,0.16343749999999985
8,-1.2,0.19937499999999983
8,-1.04,0.2331249999999998
8,-0.8799999999999999,0.26906249999999976
8,-0.72,0.29749999999999976
8,-0.56,0.3537499999999997
8,-0.3999999999999999,0.3599999999999997
8,-0.24,0.38343749999999965
8,-0.08000000000000007,0.38312499999999966
8,0.08000000000000007,0.40343749999999967
8,0.2400000000000002,0.3709374999999997
8,0.40000000000000036,0.39187499999999964
8,0.56,0.34062499999999973
8,0.7199999999999998,0.2943749999999998
8,0.8799999999999999,0.2681249999999998
8,1.04,0.2468749999999998
8,1.2000000000000002,0.20124999999999982
8,1.3600000000000003,0.15343749999999987
8,1.5200000000000005,0.1284374999999999
8,1.6800000000000002,0.09374999999999992
8,1.8399999999999999,0.07687499999999993
8,2.0,0.04781249999999996
8,2.16,0.04062499999999997
8,2.3200000000000003,0.028437499999999977
8,2.4800000000000004,0.016562499999999987
8,2.64,0.012812499999999989
8,2.8,0.0056249999999999955
8,2.96,0.005312499999999995
8,3.12,0.002499999999999998
8,3.2800000000000002,0.0009374999999999992
8,3.4400000000000004,0.001249999999999999
8,3.6,0.00031249999999999974
8,3.76,0.0
8,3.92,0.0
16,-3.92,0.0
16,-3.76,0.0
16,-3.6,0.00031249999999999974
16,-3.44,0.0006249999999999995
16,-3.2800000000000002,0.001249999999999999
16,-3.12,0.003437499999999997
16,-2.96,0.003437499999999997
16,-2.8,0.009687499999999991
16,-2.6399999999999997,0.010312499999999992
16,-2.48,0.015624999999999986
16,-2.3200000000000003,0.022499999999999982
16,-2.16,0.03437499999999997
16,-2.0,0.05531249999999995
16,-1.8399999999999999,0.07249999999999994
16,-1.68,0.09624999999999992
16,-1.52,0.1246874999999999
16,-1.3599999999999999,0.15562499999999987
16,-1.2,0.19656249999999983
16,-1.04,0.2121874999999998
16,-0.8799999999999999,0.27687499999999976
16,-0.72,0.29718749999999977
16,-0.56,0.3474999999999997
16,-0.3999999999999999,0.38781249999999967
16,-0.24,0.38624999999999965
16,-0.08000000000000007,0.4084374999999997
16,0.08000000000000007,0.40781249999999963
16,0.2400000000000002,0.3818749999999997
16,0.40000000000000036,0.35656249999999967
16,0.56,0.3309374999999997
16,0.7199999999999998,0.30531249999999976
16,0.8799999999999999,0.28718749999999976
16,1.04,0.2437499999999998
16,1.2000000000000002,0.20187499999999983
16,1.3600000000000003,0.15624999999999986
16,1.5200000000000005,0.13562499999999988
16,1.6800000000000002,0.08562499999999992
16,1.8399999999999999,0.08468749999999993
16,2.0,0.04781249999999996
16,2.16,0.032812499999999974
16,2.3200000000000003,0.031249999999999972
16,2.4800000000000004,0.015312499999999988
16,2.64,0.01093749999999999
16,2.8,0.007499999999999994
16,2.96,0.003437499999999997
16,3.12,0.0015624999999999986
16,3.2800000000000002,0.001249999999999999
16,3.4400000000000004,0.0009374999999999992
16,3.6,0.0006249999999999995
16,3.76,0.00031249999999999974
16,3.92,0.0
32,-3.92,0.0
32,-3.76,0.00031249999999999974
32,-3.6,0.00031249999999999974
32,-3.44,0.0006249999999999995
32,-3.2800000000000002,0.0006249999999999995
32,-3.12,0.003437499999999997
32,-2.96,0.003124999999999997
32,-2.8,0.006874999999999994
32,-2.6399999999999997,0.014374999999999988
32,-2.48,0.015624999999999986
32,-2.3200000000000003,0.02156249999999998
32,-2.16,0.039374999999999966
32,-2.0,0.05343749999999996
32,-1.8399999999999999,0.07031249999999994
32,-1.68,0.10062499999999991
32,-1.52,0.13437499999999988
32,-1.3599999999999999,0.15843749999999987
32,-1.2,0.20156249999999984
32,-1.04,0.2340624999999998
32,-0.8799999999999999,0.2596874999999998
32,-0.72,0.2862499999999998
32,-0.56,0.3587499999999997
32,-0.3999999999999999,0.3584374999999997
32,-0.24,0.38374999999999965
32,-0.08000000000000007,0.3978124999999997
32,0.08000000000000007,0.40718749999999965
32,0.2400000000000002,0.3759374999999997
32,0.40000000000000036,0.3703124999999997
32,0.56,0.3578124999999997
32,0.7199999999999998,0.32156249999999975
32,0.8799999999999999,0.2649999999999998
32,1.04,0.2284374999999998
32,1.2000000000000002,0.19249999999999984
32,1.3600000000000003,0.15343749999999987
32,1.5200000000000005,0.1246874999999999
